lfdn;v_300;v_23;v_3;v_1;v_2;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_21;v_22;v_24;v_25;v_26;v_27;v_28;v_29;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_44;v_47;v_45;v_46;v_51;v_52;v_59;v_60;v_61;v_62;v_63;v_64;v_65;v_66;v_67;v_76;v_73;v_79;v_68;v_70;v_71;v_74;v_78;v_77;v_75;v_69;v_72;v_80;v_81;v_87;v_92;v_88;v_91;v_83;v_93;v_89;v_94;v_90;v_84;v_86;v_82;v_85;v_95;v_96;v_97;v_98;v_99;v_100;v_101;v_102;v_303;v_103;v_104;v_105;v_343;v_344;v_345;v_346;v_347;v_348;v_349;v_350;v_351;v_110;v_108;v_106;v_109;v_107;v_111;v_112;v_113;v_158;v_159;v_160;v_161;v_162;v_163;v_164;v_165;v_166;v_167;v_168;v_170;v_171;v_169;v_172;v_173;v_174;v_175;v_176;v_177;v_178;v_179;v_180;v_181;v_182;v_183;v_184;v_185;v_186;v_187;v_188;v_189;v_190;v_191;v_192;v_193;v_246;v_248;v_250;v_252;v_254;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_194;v_297
1013;English;Austria;5;Manufacturing;NotAnswered;Business information systems;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Test Manager / Tester;NotAnswered;3;ISTQB Certified Tester;Main contractor (main responsible for the development project);NotAnswered;Agile;neutral;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Customer;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Diagrams, User Stories;NotShown;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Rather applies;Rather applies;Does rather not apply;Rather applies;Neutral;Neutral;Neutral;Does rather not apply;Neutral;Does rather not apply;Does not apply at all;Does rather not apply;Rather applies;Does not apply at all;Neutral;Does rather not apply;Neutral;Neutral;Neutral;Neutral;Communication flaws between the project and the customer;Moving targets (changing goals, business processes and / or requirements);Weak relationship between customer and project lead;Stakeholders with difficulties in separating requirements from previously known solution designs;Incomplete or hidden requirements;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
1014;English;Austria;4;Other (please specify);medical research;Software-intensive embedded systems;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;Yes;Developer;NotAnswered;10;No;In-house development;NotAnswered;Hybrid;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Customer;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;text;NotShown;NotShown;NotShown;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;customer, integration tests;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Dissatisfied;we have not a good concept for req. engineering;find a better solution;find a company global solution;NotShown;NotShown;NotShown;Does not apply at all;Does rather not apply;Does rather not apply;Rather applies;Rather applies;Neutral;Neutral;Neutral;Does rather not apply;Neutral;Rather applies;Rather applies;Strongly applies;Neutral;Rather applies;Does rather not apply;Does rather not apply;Rather applies;Neutral;Does rather not apply;Incomplete or hidden requirements;Time boxing / Not enough time in general;Communication flaws within the project team;Weak knowledge about customer's application domain;Underspecified requirements that are too abstract and allow for various interpretations;incomplete documentation;costs;less communication;no special background information about his topic;bad documentation;incomplete documentation;costs;less communication;no special background information about his topic;bad documentation;no;no
1017;English;Portugal;300;Telecommunication;NotAnswered;Other (please specify);Software as a Service;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Developer;NotAnswered;4;no;In-house development;NotAnswered;Rather agile;neutral;NotShown;NotShown;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Product Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;NotShown;NotAnswered;NotAnswered;NotShown;NotAnswered;NotShown;NotShown;NotAnswered;NotShown;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Rather applies;Neutral;Does rather not apply;Rather applies;Neutral;Does rather not apply;Rather applies;Does rather not apply;Neutral;Rather applies;Does rather not apply;Rather applies;Rather applies;Neutral;Does rather not apply;Does not apply at all;Does not apply at all;Neutral;Does not apply at all;Neutral;Communication flaws within the project team;Weak access to customer needs and / or (internal) business information;Insufficient support by customer;Stakeholders with difficulties in separating requirements from previously known solution designs;Terminological problems;weak documentation or badly organized/accessible documentation;weak documentation or badly organized/accessible documentation;single point of contact with the customer not keeping up with the project after it begins;human nature;different teams using the same thing for different things;backtracking;backtracking;more investigation required by development team;more discussion between teams to reach consensus;more discussion between teams to reach consensus;NotAnswered;NotAnswered
1021;Português;Brazil;4;Public sector;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;not quoted;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Requirements Engineer;NotAnswered;3;NotAnswered;Main contractor (main responsible for the development project);NotAnswered;Hybrid;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;Requirements Engineer;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;Hardware compatibility and software existing in the company;the system should be open, possibility of system extension;the response time must be lower at 1.0 sec;NotShown;the system must have resilience;The system must be able to identify a hardware self-heating thus connecting the cooling area.;Only specific users may have authorized access to the system. Restricted access authorization of the organizational sector;NotShown;NotShown;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;It serves the purposes of the project, and provides better visibility of what the system will become.;Delivery of a stable product, with quality and according to what the client wants.;NotAnswered;Rather applies;Does rather not apply;Neutral;Does not apply at all;Does not apply at all;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Rather applies;Neutral;Does rather not apply;Rather applies;Does not apply at all;Does rather not apply;Neutral;Does rather not apply;Rather applies;Does rather not apply;Neutral;Communication flaws between the project and the customer;Incomplete or hidden requirements;Terminological problems;Unclear / unmeasurable non-functional requirements;Inconsistent requirements;"incomplete data; work disorder; poor communication from the manager";botched analysis;no expertise with customer business ;botched analysis;botched analysis;"stress in the project; structural system error";"structural and functional errors; inconsistent product delivery";functional and structural errors;structural and functional errors;structural and functional errors;NotAnswered;NotAnswered
1028;English;Austria;50;Railway;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;10;Yes, IPMA Certificate;Customer;NotAnswered;Hybrid;Good;NotShown;NotShown;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotShown;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotShown;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Strongly applies;Rather applies;Strongly applies;Neutral;Does not apply at all;Does not apply at all;Rather applies;Does rather not apply;Does not apply at all;Does rather not apply;Does rather not apply;Rather applies;Does not apply at all;Does rather not apply;Strongly applies;Neutral;Neutral;Rather applies;Rather applies;Does rather not apply;Communication flaws within the project team;Incomplete or hidden requirements;Stakeholders with difficulties in separating requirements from previously known solution designs;Weak knowledge about customer's application domain;Underspecified requirements that are too abstract and allow for various interpretations;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
1031;Español;Uruguay;10;Healthcare;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;No;Developer;NotAnswered;5;do not;Main contractor (main responsible for the development project);NotAnswered;Rather plan-driven;neutral;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;analysis of similar projects;Project Lead / Project Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;structured list of requirements;NotShown;structured list of requirements;structured list of requirements;NotShown;NotShown;NotShown;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Neutral;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Rather applies;Strongly applies;Does rather not apply;Neutral;Neutral;Does rather not apply;Does not apply at all;Does rather not apply;Rather applies;Strongly applies;Rather applies;Neutral;Neutral;Neutral;Does not apply at all;Communication flaws between the project and the customer;Time boxing / Not enough time in general;Gold plating (implementation of features without corresponding requirements);Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Unclear / unmeasurable non-functional requirements;Lack of customer participation;Underestimation of time-consuming tasks;features are implemented to amortize on various projects or to create a customer need.;It is needed to innovate, but this is not easy in health.;little time is spent on revealing requirements.;Rework, discomfort;Team frustration, stress.;if not defined, no testable, so they may contain errors;customer dissatisfaction and within the team;generate customer dissatisfaction, or implies making changes at the last minute.;no.;no.
1033;Português;Brazil;15;Finance;NotAnswered;Business information systems;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;No;Scrum Master;NotAnswered;10;PSM;Main contractor (main responsible for the development project);NotAnswered;Agile;Very good;NotShown;The history of professional comes from other agile projects with good results focused on value, anticipation, quality and lean mindset;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;Specification by example with BDD;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;Nenhum em especial, mas qualquer um deles se destacado como especialmente importante pelo PO naquela história;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;When explained in acceptance criteria;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Very dissatisfied;There is great customer and organization satisfaction, due to a consensus on a minimal and live record and documentation;In previous projects, very detailed requirements and oriented to extensive documentation generated a big waste for their production and little usage, in the current format with User Stories, BDD and UX prototyping, the results are a minimal and lean specification but that is sufficient and necessary.;It is today recognized as satisfactory;NotShown;NotShown;NotShown;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Does not apply at all;Neutral;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Does not apply at all;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Neutral;Does not apply at all;Insufficient support by customer;Communication flaws between the project and the customer;Communication flaws within the project team;Moving targets (changing goals, business processes and / or requirements);Gold plating (implementation of features without corresponding requirements);The client can not outsource HIS/HER project with IT, he/she should actively participate from start to finish;Agile is about collectiveness, the team must use the proper techniques to establish this communication and the client must have representatives with time for it;The team must have covenants or combinations in the use of a methodology that fosters communication and proactiveness;Adaptation is essential, the chosen methodology must be iterative, incremental and articulated;It's a great immediate and legacy waste, the overload with what should not be being done, the focus is on value and real needs;The gap causes the project to be developed only on assumptions and find shifts too late ;Rework, waste and frictions are inevitable;The lack of internal synergies to the team generates a sense of hard work and little income or lack of recognition of the customer;If it is not adaptive, we are still working focused on immutable definitions from months ago and that waste the accumulated learning at every step;It will likely to generate waste, such as rework, removal since there is not a real need, unnecessary increase in complexity;There is always a big challenge in the balance between technology and the client's perceived value for each delivery, between technical excellence and perception of value, quality and value, it is a constant challenge in relation to layers, frameworks, automation, etc.;We live in a process of gradual transition between use cases, class diagrams, textually written requirements in a traditional and extensive way to a more lean model, in a more dynamic way, with user stories and with their acceptance criteria, BDD and prototyping with the participation of one UX professional. In this way, you must have a plan, pilots and time for this transition, the organizations need to experiment and evolve gradually, safely, reducing resistance and conflicts between residual rules and standards still existing from the experiences with CMMI and MPS-Br to a more light model ... but it is happening as it should be.
1035;English;Estonia;6;e-Commerce;NotAnswered;Business information systems;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;No;Project Lead / Project Manager;NotAnswered;20;no;Main contractor (main responsible for the development project);NotAnswered;Rather plan-driven;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;NotShown;NotShown;plain text;NotShown;NotShown;NotShown;NotShown;plain text;NotShown;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Neutral;Neutral;Neutral;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Neutral;Neutral;Neutral;Neutral;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Moving targets (changing goals, business processes and / or requirements);Please make a selection;Please make a selection;Please make a selection;Please make a selection;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotAnswered;-
1039;Português;Brazil;12;Energy;NotAnswered;Business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Yes;Scrum Master;NotAnswered;7;No;Sub-contractor (responsible for part of a larger development project);NotAnswered;Agile;Good;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;not quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;using textual requirements based on the restrictions set by the customer;NotShown;NotShown;NotShown;NotShown;NotShown;using diagrams;NotShown;NotShown;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;Because we use SCRUM and with the backlog setting we have a definition of the tasks to be performed;Be aware that changing requirements is normal generates less stress on the team. Obviously, if the new requirements are far outside the defined scope, then we will have to revise the established contract.;The move to SCRUM;Strongly applies;Strongly applies;Rather applies;Strongly applies;Does rather not apply;Rather applies;Rather applies;Rather applies;Neutral;Neutral;Strongly applies;Does not apply at all;Rather applies;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Rather applies;Rather applies;Does not apply at all;Communication flaws between the project and the customer;Communication flaws within the project team;Incomplete or hidden requirements;Unclear / unmeasurable non-functional requirements;Weak knowledge about customer's application domain;Lack of availability of the customer;misunderstanding due to the problem domain;Not understood by the team or not informed by the customer;Often placed after the requirements definition;It occurs when the project is from a new domain for the team;Sprints with unnecessary activities  or implemented in the wrong way;Sprints with unnecessary or activities implemented in the wrong way;New activities included in sprints;New activities included in sprints;incorrect implementations;NotAnswered;NotAnswered
1051;English;Spain;50;Other (please specify);Domain-independent tool support for engineering and assurance of safety-criticla systems;Business information systems;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Product Manager;NotAnswered;6;No;Main contractor (main responsible for the development project);NotAnswered;Rather agile;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Product Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;Non-quantified textual requirements;NotShown;Quantified textual requirements;NotShown;NotShown;NotShown;Non-quantified textual requirements;Non-quantified textual requirements;NotShown;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;Overall good quality and good representation of system needs to meet stakeholders' expectations;Satisfied stakeholders and product quality;Further stakeholder involvement;Neutral;Neutral;Neutral;Rather applies;Does rather not apply;Neutral;Rather applies;Rather applies;Neutral;Does rather not apply;Does rather not apply;Neutral;Neutral;Neutral;Rather applies;Rather applies;Does rather not apply;Rather applies;Neutral;Neutral;Underspecified requirements that are too abstract and allow for various interpretations;Inconsistent requirements;Incomplete or hidden requirements;Weak knowledge about customer's application domain;Insufficient support by customer;Insufficient training;Insufficient coordination;Insufficient customer involvement;Insufficient experience;Insufficient customer motivation;Doubts at later stages;Doubts at later stages;Unsatisfactory product;Unsatisfactory product;Unsatisfactory product;Key customer stakeholders aren't sufficiently involved many times;NotAnswered
1055;English;Uruguay;4;Other (please specify);Automation;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;No;Product Manager;NotAnswered;10;NotAnswered;In-house development;NotAnswered;Agile;Very good;NotShown;Great communication, regular product reviews and validations;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Developer;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;quality attribute scenario;quality attribute scenario;quality attribute scenario;NotShown;NotShown;NotShown;NotShown;non-quantified textual requirements;NotShown;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;Using escenarios performed by the user in a production environment;not quoted;not quoted;quoted;not quoted;not quoted;quoted;deriving escenarios (BDD);We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;Customer and users are highly involved on the product definition and elicitation. The system is tested at every sprint and every release is validated by the users;we have a very good relation with customers and users. Users feel free to request changes;NotAnswered;Does rather not apply;Neutral;Rather applies;Rather applies;Does not apply at all;Does not apply at all;Neutral;Does rather not apply;Neutral;Does rather not apply;Neutral;Does rather not apply;Rather applies;Does not apply at all;Does rather not apply;Does rather not apply;Does not apply at all;Neutral;Does rather not apply;Does not apply at all;Terminological problems;Stakeholders with difficulties in separating requirements from previously known solution designs;Unclear / unmeasurable non-functional requirements;Communication flaws within the project team;Weak access to customer needs and / or (internal) business information;unusual application domain;users not used to highly automated solutions;some NFR are very difficult to measure ;some developers missing meetings;busy customers and users;problems with the interpretation of some FRs;more value could be added to users;it has impact on architectural decisions;some difficulties at development time;impact on time management;NotAnswered;NotAnswered
